,Mileage,Make,Model,Trim,Type,Cylinder,Liter,Doors,Cruise,Sound,Leather
593,19225.0,Pontiac,Sunfire,Coupe 2D,Coupe,4,2.2,2,1,1,1
649,50387.0,SAAB,9_3,Linear Sedan 4D,Sedan,4,2.0,4,1,0,1
167,24568.0,Chevrolet,AVEO,LS Hatchback 4D,Hatchback,4,1.6,4,1,0,1
38,27096.0,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,0,0
367,26980.0,Chevrolet,Impala,LS Sedan 4D,Sedan,6,3.8,4,1,1,0
569,27721.0,Pontiac,Grand Prix,GTP Sedan 4D,Sedan,6,3.8,4,1,0,1
300,1169.0,Chevrolet,Cobalt,LS Coupe 2D,Coupe,4,2.2,2,0,1,1
539,23335.0,Pontiac,Grand Am,GT Coupe 2D,Coupe,6,3.4,2,0,1,1
513,11221.0,Pontiac,G6,GT Sedan 4D,Sedan,6,3.5,4,1,1,1
591,17830.0,Pontiac,Sunfire,Coupe 2D,Coupe,4,2.2,2,1,1,1
163,20100.0,Chevrolet,AVEO,LS Hatchback 4D,Hatchback,4,1.6,4,0,1,0
124,17508.0,Cadillac,Deville,Sedan 4D,Sedan,8,4.6,4,1,0,1
154,15600.0,Cadillac,XLR-V8,Hardtop Conv 2D,Convertible,8,4.6,2,1,1,1
336,17594.0,Chevrolet,Cobalt,Sedan 4D,Sedan,4,2.2,4,0,1,1
59,31324.0,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,1,1
427,25394.0,Chevrolet,Malibu,LT Sedan 4D,Sedan,6,3.5,4,0,1,1
304,25845.0,Chevrolet,Cobalt,LS Coupe 2D,Coupe,4,2.2,2,1,1,1
654,22479.0,SAAB,9_3 HO,Aero Conv 2D,Convertible,4,2.0,2,1,0,0
546,13262.0,Pontiac,Grand Am,SE Sedan 4D,Sedan,4,2.2,4,0,1,1
343,14546.0,Chevrolet,Corvette,Conv 2D,Convertible,8,6.0,2,1,1,1
483,19521.0,Pontiac,Bonneville,GXP Sedan 4D,Sedan,8,4.6,4,1,1,1
311,12980.0,Chevrolet,Cobalt,LS Sedan 4D,Sedan,4,2.2,4,0,1,1
634,20925.0,SAAB,9_3,Linear Conv 2D,Convertible,4,2.0,2,1,0,1
158,31805.0,Cadillac,XLR-V8,Hardtop Conv 2D,Convertible,8,4.6,2,1,0,1
51,17787.0,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,1,0
496,22423.0,Pontiac,Bonneville,SE Sedan 4D,Sedan,6,3.8,4,1,1,0
497,24747.0,Pontiac,Bonneville,SE Sedan 4D,Sedan,6,3.8,4,1,1,1
447,21272.0,Chevrolet,Malibu,Sedan 4D,Sedan,6,3.5,4,1,1,1
361,9795.0,Chevrolet,Impala,LS Sedan 4D,Sedan,6,3.8,4,1,1,0
558,29925.0,Pontiac,Grand Prix,GT Sedan 4D,Sedan,6,3.8,4,1,1,0
422,19593.0,Chevrolet,Malibu,LT Sedan 4D,Sedan,6,3.5,4,1,1,1
219,35299.0,Chevrolet,AVEO,SVM Sedan 4D,Sedan,4,1.6,4,0,0,0
308,29891.0,Chevrolet,Cobalt,LS Coupe 2D,Coupe,4,2.2,2,1,1,1
74,17335.0,Buick,Park Avenue,Special Ed Ultra 4D,Sedan,6,3.8,4,1,0,1
282,17343.0,Chevrolet,Classic,Sedan 4D,Sedan,4,2.2,4,0,1,1
490,11554.0,Pontiac,Bonneville,SE Sedan 4D,Sedan,6,3.8,4,1,0,1
4,9795.0,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,0,1
695,23143.0,SAAB,9_5,Arc Sedan 4D,Sedan,4,2.3,4,1,1,1
538,22641.0,Pontiac,Grand Am,GT Coupe 2D,Coupe,6,3.4,2,1,1,1
523,19539.0,Pontiac,G6,Sedan 4D,Sedan,6,3.5,4,1,0,0
498,27574.0,Pontiac,Bonneville,SE Sedan 4D,Sedan,6,3.8,4,1,0,0
5,9795.0,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,0
141,9795.0,Cadillac,STS-V8,Sedan 4D,Sedan,8,4.6,4,1,1,1
660,10003.0,SAAB,9_3 HO,Aero Sedan 4D,Sedan,4,2.0,4,1,1,0
135,21778.0,Cadillac,STS-V6,Sedan 4D,Sedan,6,3.6,4,1,0,1
576,23989.0,Pontiac,Grand Prix,Sedan 4D,Sedan,6,3.8,4,1,0,0
378,31202.0,Chevrolet,Impala,Sedan 4D,Sedan,6,3.8,4,1,1,1
625,14304.0,Pontiac,Vibe,Sportwagon 4D,Wagon,4,1.8,4,0,0,1
22,14363.0,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,1,1
630,10340.0,SAAB,9_3,Linear Conv 2D,Convertible,4,2.0,2,1,1,0
276,25014.0,Chevrolet,Cavalier,Sedan 4D,Sedan,4,2.2,4,1,1,1
284,20309.0,Chevrolet,Classic,Sedan 4D,Sedan,4,2.2,4,1,1,1
270,4922.0,Chevrolet,Cavalier,Sedan 4D,Sedan,4,2.2,4,0,1,1
667,22814.0,SAAB,9_3 HO,Aero Sedan 4D,Sedan,4,2.0,4,1,1,1
281,12305.0,Chevrolet,Classic,Sedan 4D,Sedan,4,2.2,4,1,1,1
220,7372.0,Chevrolet,Cavalier,Coupe 2D,Coupe,4,2.2,2,1,1,1
631,12251.0,SAAB,9_3,Linear Conv 2D,Convertible,4,2.0,2,1,0,0
320,865.0,Chevrolet,Cobalt,LT Sedan 4D,Sedan,4,2.2,4,1,1,1
480,11892.0,Pontiac,Bonneville,GXP Sedan 4D,Sedan,8,4.6,4,1,0,1
120,6447.0,Cadillac,Deville,Sedan 4D,Sedan,8,4.6,4,1,0,1
81,6685.0,Cadillac,CST-V,Sedan 4D,Sedan,8,5.7,4,1,0,1
696,25247.0,SAAB,9_5,Arc Sedan 4D,Sedan,4,2.3,4,1,1,1
13,19800.0,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,1
416,19490.0,Chevrolet,Malibu,LT MAXX Hback 4D,Hatchback,6,3.5,4,1,1,1
676,24031.0,SAAB,9_3 HO,Arc Conv 2D,Convertible,4,2.0,2,1,0,1
669,27600.0,SAAB,9_3 HO,Aero Sedan 4D,Sedan,4,2.0,4,1,1,0
160,10011.0,Chevrolet,AVEO,LS Hatchback 4D,Hatchback,4,1.6,4,0,0,1
681,5144.0,SAAB,9_3 HO,Arc Sedan 4D,Sedan,4,2.0,4,1,1,0
238,25816.0,Chevrolet,Cavalier,LS Coupe 2D,Coupe,4,2.2,2,0,1,1
379,33357.0,Chevrolet,Impala,Sedan 4D,Sedan,6,3.8,4,1,1,1
441,11393.0,Chevrolet,Malibu,Sedan 4D,Sedan,6,3.5,4,1,1,1
482,19148.0,Pontiac,Bonneville,GXP Sedan 4D,Sedan,8,4.6,4,1,0,1
489,31197.0,Pontiac,Bonneville,GXP Sedan 4D,Sedan,8,4.6,4,1,1,1
520,7287.0,Pontiac,G6,Sedan 4D,Sedan,6,3.5,4,1,1,1
